n,Y,N
1:,10000,0
2:,10000,0
3:,10000,0
4:,7417,2583
5:,5986,4014
6:,4978,5022
7:,4225,5775
8:,3761,6239
9:,3318,6682
10:,3961,6039
11:,4432,5568
12:,4992,5008
13:,5355,4645
14:,5666,4334
15:,6031,3969
16:,6282,3718
17:,6444,3556
18:,6726,3274
19:,6851,3149
20:,6961,3039
21:,7224,2776
22:,7271,2729
23:,7410,2590
24:,7467,2533
25:,7579,2421
26:,7730,2270
27:,7790,2210
28:,7818,2182
29:,7933,2067
30:,7993,2007
31:,8044,1956
32:,8113,1887
33:,8224,1776
34:,8278,1722
35:,8250,1750
36:,8396,1604
37:,8418,1582
38:,8430,1570
39:,8446,1554
40:,8254,1746
41:,8051,1949
42:,7831,2169
43:,7693,2307
44:,7464,2536
45:,7290,2710
46:,7107,2893
47:,7037,2963
48:,6898,3102
49:,6723,3277
50:,6604,3396
51:,6521,3479
52:,6294,3706
53:,6240,3760
54:,6151,3849
55:,6044,3956
56:,5912,4088
57:,5718,4282
58:,5730,4270
59:,5611,4389
60:,5521,4479
61:,5465,4535
62:,5282,4718
63:,5222,4778
64:,5120,4880
65:,5046,4954
66:,4947,5053
67:,4938,5062
68:,4783,5217
69:,4708,5292
70:,4912,5088
71:,4621,5379
72:,4573,5427
73:,4477,5523
74:,4430,5570
75:,4441,5559
76:,4346,5654
77:,4289,5711
78:,4244,5756
79:,4208,5792
80:,4180,5820
81:,4062,5938
82:,4027,5973
83:,3949,6051
84:,3911,6089
85:,3922,6078
86:,3862,6138
87:,3770,6230
88:,3644,6356
89:,3688,6312
90:,3659,6341
91:,3706,6294
92:,3579,6421
93:,3575,6425
94:,3536,6464
95:,3393,6607
96:,3414,6586
97:,3443,6557
98:,3338,6662
99:,3331,6669
100:,3443,6557
101:,3461,6539
102:,3485,6515
103:,3584,6416
104:,3615,6385
105:,3722,6278
106:,3778,6222
107:,3755,6245
108:,3892,6108
109:,3922,6078
110:,3996,6004
111:,4052,5948
112:,4180,5820
113:,4158,5842
114:,4259,5741
115:,4247,5753
116:,4349,5651
117:,4402,5598
118:,4378,5622
119:,4442,5558
120:,4446,5554
121:,4598,5402
122:,4550,5450
123:,4623,5377
124:,4729,5271
125:,4651,5349
126:,4882,5118
127:,4762,5238
128:,4867,5133
129:,4927,5073
130:,4915,5085
131:,4988,5012
132:,4974,5026
133:,5092,4908
134:,4959,5041
135:,5153,4847
136:,5207,4793
137:,5136,4864
138:,5255,4745
139:,5330,4670
140:,5319,4681
141:,5274,4726
142:,5302,4698
143:,5350,4650
144:,5447,4553
145:,5543,4457
146:,5586,4414
147:,5505,4495
148:,5545,4455
149:,5502,4498
150:,5525,4475
151:,5725,4275
152:,5644,4356
153:,5656,4344
154:,5600,4400
155:,5718,4282
156:,5774,4226
157:,5861,4139
158:,5844,4156
159:,5789,4211
160:,5897,4103
161:,5845,4155
162:,5909,4091
163:,5909,4091
164:,5924,4076
165:,6048,3952
166:,5996,4004
167:,6048,3952
168:,6135,3865
169:,6106,3894
170:,6137,3863
171:,6056,3944
172:,6140,3860
173:,6278,3722
174:,6200,3800
175:,6251,3749
176:,6265,3735
177:,6342,3658
178:,6284,3716
179:,6322,3678
180:,6374,3626
181:,6411,3589
182:,6367,3633
183:,6380,3620
184:,6254,3746
185:,6522,3478
186:,6383,3617
187:,6501,3499
188:,6487,3513
189:,6515,3485
190:,6525,3475
191:,6599,3401
192:,6613,3387
193:,6512,3488
194:,6580,3420
195:,6561,3439
196:,6694,3306
197:,6624,3376
198:,6678,3322
199:,6676,3324
200:,6690,3310
201:,6705,3295
202:,6774,3226
203:,6700,3300
204:,6773,3227
205:,6758,3242
206:,6801,3199
207:,6850,3150
208:,6803,3197
209:,6935,3065
210:,6765,3235
211:,6883,3117
212:,6940,3060
213:,6893,3107
214:,6884,3116
215:,6905,3095
216:,7016,2984
217:,6942,3058
218:,7058,2942
219:,7002,2998
220:,6998,3002
221:,7043,2957
222:,7033,2967
223:,7015,2985
224:,6998,3002
225:,7111,2889
226:,7058,2942
227:,7069,2931
228:,7186,2814
229:,7160,2840
230:,7052,2948
231:,7135,2865
232:,7136,2864
233:,7128,2872
234:,7159,2841
235:,7198,2802
236:,7167,2833
237:,7153,2847
238:,7147,2853
239:,7249,2751
240:,7241,2759
241:,7317,2683
242:,7272,2728
243:,7335,2665
244:,7289,2711
245:,7270,2730
246:,7306,2694
247:,7263,2737
248:,7384,2616
249:,7395,2605
250:,7397,2603
251:,7311,2689
252:,7356,2644
253:,7322,2678
254:,7356,2644
255:,7412,2588
256:,7483,2517
257:,7492,2508
258:,7384,2616
259:,7448,2552
260:,7431,2569
261:,7496,2504
262:,7554,2446
263:,7487,2513
264:,7472,2528
265:,7538,2462
266:,7582,2418
267:,7510,2490
268:,7589,2411
269:,7589,2411
270:,7480,2520
271:,7610,2390
272:,7540,2460
273:,7585,2415
274:,7695,2305
275:,7679,2321
276:,7608,2392
277:,7647,2353
278:,7638,2362
279:,7606,2394
280:,7606,2394
281:,7667,2333
282:,7622,2378
283:,7671,2329
284:,7697,2303
285:,7698,2302
286:,7762,2238
287:,7701,2299
288:,7736,2264
289:,7707,2293
290:,7751,2249
291:,7751,2249
292:,7809,2191
293:,7732,2268
294:,7722,2278
295:,7796,2204
296:,7801,2199
297:,7787,2213
298:,7759,2241
299:,7792,2208
300:,7773,2227
301:,7772,2228
302:,7742,2258
303:,7863,2137
304:,7844,2156
305:,7817,2183
306:,7785,2215
307:,7833,2167
308:,7820,2180
309:,7874,2126
310:,7971,2029
311:,7884,2116
312:,7925,2075
313:,7868,2132
314:,7886,2114
315:,7880,2120
316:,7943,2057
317:,7931,2069
318:,7880,2120
319:,7918,2082
320:,8004,1996
321:,8013,1987
322:,7986,2014
323:,7892,2108
324:,7979,2021
325:,7997,2003
326:,8004,1996
327:,8047,1953
328:,7997,2003
329:,8059,1941
330:,7999,2001
331:,7988,2012
332:,8029,1971
333:,8046,1954
334:,7935,2065
335:,8041,1959
336:,8019,1981
337:,8032,1968
338:,8032,1968
339:,8115,1885
340:,8077,1923
341:,8111,1889
342:,8089,1911
343:,8080,1920
344:,8102,1898
345:,8065,1935
346:,8117,1883
347:,8279,1721
348:,8043,1957
349:,8126,1874
350:,8065,1935
351:,8124,1876
352:,8122,1878
353:,8083,1917
354:,8143,1857
355:,8096,1904
356:,8163,1837
357:,8099,1901
358:,8098,1902
359:,8116,1884
360:,8096,1904
361:,8220,1780
362:,8196,1804
363:,8152,1848
364:,8173,1827
365:,8192,1808
366:,8166,1834
367:,8140,1860
368:,8235,1765
369:,8190,1810
370:,8190,1810
371:,8262,1738
372:,8221,1779
373:,8279,1721
374:,8162,1838
375:,8188,1812
376:,8253,1747
377:,8283,1717
378:,8146,1854
379:,8348,1652
380:,8238,1762
381:,8293,1707
382:,8266,1734
383:,8275,1725
384:,8308,1692
385:,8270,1730
386:,8270,1730
387:,8267,1733
388:,8232,1768
389:,8329,1671
390:,8248,1752
391:,8323,1677
392:,8300,1700
393:,8375,1625
394:,8249,1751
395:,8319,1681
396:,8272,1728
397:,8319,1681
398:,8260,1740
399:,8351,1649
400:,8363,1637
401:,8284,1716
402:,8211,1789
403:,8247,1753
404:,8166,1834
405:,8204,1796
406:,8143,1857
407:,8238,1762
408:,8179,1821
409:,8161,1839
410:,8083,1917
411:,8072,1928
412:,8035,1965
413:,8012,1988
414:,8035,1965
415:,8045,1955
416:,8004,1996
417:,7999,2001
418:,7943,2057
419:,7987,2013
420:,7964,2036
421:,7956,2044
422:,7882,2118
423:,7931,2069
424:,7879,2121
425:,7807,2193
426:,7808,2192
427:,7795,2205
428:,7690,2310
429:,7713,2287
430:,7778,2222
431:,7746,2254
432:,7608,2392
433:,7607,2393
434:,7694,2306
435:,7646,2354
436:,7698,2302
437:,7659,2341
438:,7582,2418
439:,7520,2480
440:,7624,2376
441:,7542,2458
442:,7522,2478
443:,7457,2543
444:,7526,2474
445:,7464,2536
446:,7599,2401
447:,7499,2501
448:,7437,2563
449:,7464,2536
450:,7455,2545
451:,7398,2602
452:,7447,2553
453:,7333,2667
454:,7355,2645
455:,7261,2739
456:,7290,2710
457:,7288,2712
458:,7247,2753
459:,7207,2793
460:,7263,2737
461:,7295,2705
462:,7255,2745
463:,7204,2796
464:,7180,2820
465:,7181,2819
466:,7110,2890
467:,7080,2920
468:,7152,2848
469:,7092,2908
470:,7037,2963
471:,7071,2929
472:,7018,2982
473:,7031,2969
474:,6989,3011
475:,7094,2906
476:,6945,3055
477:,6905,3095
478:,6965,3035
479:,6954,3046
480:,6957,3043
481:,6936,3064
482:,6839,3161
483:,6953,3047
484:,6982,3018
485:,6818,3182
486:,6919,3081
487:,6826,3174
488:,6813,3187
489:,6792,3208
490:,6850,3150
491:,6861,3139
492:,6712,3288
493:,6649,3351
494:,6731,3269
495:,6673,3327
496:,6697,3303
497:,6690,3310
498:,6662,3338
499:,6639,3361
500:,6724,3276
501:,6666,3334
502:,6631,3369
503:,6550,3450
504:,6527,3473
505:,6576,3424
506:,6554,3446
507:,6579,3421
508:,6519,3481
509:,6591,3409
510:,6517,3483
511:,6519,3481
512:,6536,3464
513:,6516,3484
514:,6433,3567
515:,6442,3558
516:,6501,3499
517:,6433,3567
518:,6440,3560
519:,6444,3556
520:,6358,3642
521:,6345,3655
522:,6407,3593
523:,6335,3665
524:,6324,3676
525:,6290,3710
526:,6371,3629
527:,6291,3709
528:,6280,3720
529:,6299,3701
530:,6220,3780
531:,6273,3727
532:,6264,3736
533:,6230,3770
534:,6208,3792
535:,6241,3759
536:,6268,3732
537:,6242,3758
538:,6258,3742
539:,6204,3796
540:,6241,3759
541:,6186,3814
542:,6199,3801
543:,6128,3872
544:,6044,3956
545:,6090,3910
546:,6069,3931
547:,6048,3952
548:,6028,3972
549:,6042,3958
550:,6022,3978
551:,6043,3957
552:,6071,3929
553:,6027,3973
554:,5967,4033
555:,6023,3977
556:,6016,3984
557:,5996,4004
558:,5883,4117
559:,5954,4046
560:,5939,4061
561:,6035,3965
562:,5885,4115
563:,5956,4044
564:,5973,4027
565:,5922,4078
566:,5901,4099
567:,5883,4117
568:,5888,4112
569:,5798,4202
570:,5831,4169
571:,5838,4162
572:,5763,4237
573:,5779,4221
574:,5811,4189
575:,5815,4185
576:,5745,4255
577:,5771,4229
578:,5780,4220
579:,5714,4286
580:,5669,4331
581:,5732,4268
582:,5737,4263
583:,5697,4303
584:,5688,4312
585:,5688,4312
586:,5671,4329
587:,5585,4415
588:,5570,4430
589:,5697,4303
590:,5591,4409
591:,5559,4441
592:,5661,4339
593:,5611,4389
594:,5519,4481
595:,5665,4335
596:,5509,4491
597:,5595,4405
598:,5573,4427
599:,5555,4445
600:,5586,4414
601:,5585,4415
602:,5507,4493
603:,5595,4405
604:,5512,4488
605:,5571,4429
606:,5518,4482
607:,5548,4452
608:,5462,4538
609:,5533,4467
610:,5374,4626
611:,5366,4634
612:,5446,4554
613:,5455,4545
614:,5443,4557
615:,5324,4676
616:,5372,4628
617:,5448,4552
618:,5374,4626
619:,5482,4518
620:,5438,4562
621:,5428,4572
622:,5471,4529
623:,5268,4732
624:,5342,4658
625:,5314,4686
626:,5246,4754
627:,5303,4697
628:,5255,4745
629:,5264,4736
630:,5206,4794
631:,5249,4751
632:,5236,4764
633:,5328,4672
634:,5272,4728
635:,5275,4725
636:,5277,4723
637:,5347,4653
638:,5252,4748
639:,5146,4854
640:,5128,4872
641:,5252,4748
642:,5186,4814
643:,5120,4880
644:,5140,4860
645:,5140,4860
646:,5134,4866
647:,5143,4857
648:,5159,4841
649:,5060,4940
650:,5100,4900
651:,5073,4927
652:,5113,4887
653:,5223,4777
654:,5098,4902
655:,5020,4980
656:,5192,4808
657:,5028,4972
658:,5083,4917
659:,5089,4911
660:,5159,4841
661:,5093,4907
662:,5064,4936
663:,5034,4966
664:,4897,5103
665:,4988,5012
666:,4972,5028
667:,5009,4991
668:,5061,4939
669:,4975,5025
670:,4978,5022
671:,4975,5025
672:,5022,4978
673:,4860,5140
674:,4978,5022
675:,4954,5046
676:,4917,5083
677:,4939,5061
678:,4948,5052
679:,4912,5088
680:,4922,5078
681:,4878,5122
682:,4875,5125
683:,4928,5072
684:,4777,5223
685:,4961,5039
686:,4748,5252
687:,4854,5146
688:,4822,5178
689:,4842,5158
690:,4813,5187
691:,4814,5186
692:,4875,5125
693:,4805,5195
694:,4801,5199
695:,4805,5195
696:,4783,5217
697:,4819,5181
698:,4820,5180
699:,4752,5248
700:,4814,5186
701:,4749,5251
702:,4719,5281
703:,4741,5259
704:,4745,5255
705:,4707,5293
706:,4747,5253
707:,4697,5303
708:,4704,5296
709:,4602,5398
710:,4654,5346
711:,4720,5280
712:,4620,5380
713:,4609,5391
714:,4565,5435
715:,4720,5280
716:,4734,5266
717:,4550,5450
718:,4578,5422
719:,4616,5384
720:,4615,5385
721:,4612,5388
722:,4625,5375
723:,4588,5412
724:,4628,5372
725:,4574,5426
726:,4607,5393
727:,4578,5422
728:,4578,5422
729:,4585,5415
730:,4499,5501
731:,4540,5460
732:,4529,5471
733:,4592,5408
734:,4570,5430
735:,4511,5489
736:,4619,5381
737:,4624,5376
738:,4512,5488
739:,4547,5453
740:,4580,5420
741:,4504,5496
742:,4522,5478
743:,4518,5482
744:,4361,5639
745:,4543,5457
746:,4398,5602
747:,4475,5525
748:,4390,5610
749:,4549,5451
750:,4406,5594
751:,4358,5642
752:,4445,5555
753:,4455,5545
754:,4451,5549
755:,4418,5582
756:,4320,5680
757:,4433,5567
758:,4446,5554
759:,4394,5606
760:,4394,5606
761:,4294,5706
762:,4459,5541
763:,4323,5677
764:,4275,5725
765:,4442,5558
766:,4354,5646
767:,4291,5709
768:,4246,5754
769:,4294,5706
770:,4362,5638
771:,4208,5792
772:,4295,5705
773:,4343,5657
774:,4347,5653
775:,4392,5608
776:,4203,5797
777:,4299,5701
778:,4269,5731
779:,4295,5705
780:,4178,5822
781:,4165,5835
782:,4325,5675
783:,4226,5774
784:,4298,5702
785:,4261,5739
786:,4223,5777
787:,4238,5762
788:,4189,5811
789:,4182,5818
790:,4177,5823
791:,4176,5824
792:,4201,5799
793:,4255,5745
794:,4227,5773
795:,4178,5822
796:,4159,5841
797:,4144,5856
798:,4157,5843
799:,4126,5874
800:,4135,5865
801:,4186,5814
802:,4104,5896
803:,4170,5830
804:,4125,5875
805:,4243,5757
806:,4120,5880
807:,4120,5880
808:,4130,5870
809:,4009,5991
810:,4089,5911
811:,4067,5933
812:,4082,5918
813:,4076,5924
814:,4104,5896
815:,4020,5980
816:,4077,5923
817:,4087,5913
818:,4005,5995
819:,4108,5892
820:,4086,5914
821:,4051,5949
822:,3998,6002
823:,4046,5954
824:,4089,5911
825:,3959,6041
826:,3977,6023
827:,4069,5931
828:,4073,5927
829:,4003,5997
830:,4061,5939
831:,3960,6040
832:,4152,5848
833:,3981,6019
834:,3957,6043
835:,4008,5992
836:,3982,6018
837:,3947,6053
838:,3909,6091
839:,3978,6022
840:,3981,6019
841:,3987,6013
842:,3850,6150
843:,4011,5989
844:,3943,6057
845:,3866,6134
846:,3919,6081
847:,3904,6096
848:,3878,6122
849:,3877,6123
850:,3933,6067
851:,3952,6048
852:,3942,6058
853:,3845,6155
854:,3921,6079
855:,3909,6091
856:,3912,6088
857:,3869,6131
858:,3869,6131
859:,3875,6125
860:,3794,6206
861:,3813,6187
862:,3812,6188
863:,3869,6131
864:,3859,6141
865:,3861,6139
866:,3886,6114
867:,3821,6179
868:,3872,6128
869:,3788,6212
870:,3886,6114
871:,3788,6212
872:,3969,6031
873:,3786,6214
